story_id,story_name,emotion,story_path,question_num,question_text,answer_options,question_audio_path
12016_1_2_happy,Pizza Story,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,1,What was the restaurant she mentioned?,"A. Dominos | B. Papa John's | C. Pizza Hut | D. Little Caesar's",stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q1.wav
12016_1_2_happy,Pizza Story,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,2,What did she win?,"A. A lifetime of free pizza | B. A free pizza party | C. Free pizza for a year | D. A free pizza",stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q2.wav
12016_1_2_happy,Pizza Story,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,3,How do you think she felt when she filled out the survey?,"A. Upset | B. Anxious | C. Hopeful | D. Sad",stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q3.wav
12016_1_2_happy,Pizza Story,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,4,How did she feel when she got 52 gift cards?,Free response,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q4.wav
12016_1_2_happy,Pizza Story,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q5.wav
12016_1_2_sad,Swim Story,sad,stim_normalized/12016_1_2_sad/story/12016_1_2_sad_studio.wav,1,Where was she when everyone jumped in?,"A. On the diving board | B. Already in the pool | C. Behind the starting block | D. At the concession stand",stim_normalized/12016_1_2_sad/questions/12016_1_2_sad_studio_q1.wav
12016_1_2_sad,Swim Story,sad,stim_normalized/12016_1_2_sad/story/12016_1_2_sad_studio.wav,2,How did her team react?,"A. No one even noticed | B. They all cried | C. They were very forgiving | D. They were mad at her",stim_normalized/12016_1_2_sad/questions/12016_1_2_sad_studio_q2.wav
12016_1_2_sad,Swim Story,sad,stim_normalized/12016_1_2_sad/story/12016_1_2_sad_studio.wav,3,How do you think she felt when the buzzer sounded for her event?,"A. Thankful | B. Anxious | C. Relieved | D. Excited",stim_normalized/12016_1_2_sad/questions/12016_1_2_sad_studio_q3.wav
12016_1_2_sad,Swim Story,sad,stim_normalized/12016_1_2_sad/story/12016_1_2_sad_studio.wav,4,How did she feel when she got back to her team?,Free response,stim_normalized/12016_1_2_sad/questions/12016_1_2_sad_studio_q4.wav
12016_1_2_sad,Swim Story,sad,stim_normalized/12016_1_2_sad/story/12016_1_2_sad_studio.wav,5,How did this story make you feel?,Free response,stim_normalized/12016_1_2_sad/questions/12016_1_2_sad_studio_q5.wav
12008_1_1_happy,Sister Story,happy,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,1,What did he get for his mom?,"A. Flowers | B. A cake | C. Chocolate | D. Balloons",stim_normalized/12008_1_1_sad/questions/12008_1_1_happy_nvidia_q1.wav
12008_1_1_happy,Sister Story,happy,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,2,Where did he stay while his parents were at the hospital?,"A. At his grandparent's house | B. At his aunt and uncle's house | C. At home with his older brother | D. At a friend's house",stim_normalized/12008_1_1_sad/questions/12008_1_1_happy_nvidia_q2.wav
12008_1_1_happy,Sister Story,happy,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,3,How do you think he felt when he couldn't go to the hospital?,"A. Thrilled | B. Relieved | C. Disappointed | D. Panicked",stim_normalized/12008_1_1_sad/questions/12008_1_1_happy_nvidia_q3.wav
12008_1_1_happy,Sister Story,happy,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,4,How did he feel when they brought his sister home?,Free response,stim_normalized/12008_1_1_sad/questions/12008_1_1_happy_nvidia_q4.wav
12008_1_1_happy,Sister Story,happy,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,5,How did this story make you feel?,Free response,stim_normalized/12008_1_1_sad/questions/12008_1_1_happy_nvidia_q5.wav
12008_1_1_sad,Ginger Story,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,1,How did Ginger die in the end?,"A. The vet put her down | B. She got lost | C. She died in her sleep | D. She got hit by a car",stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q1.wav
12008_1_1_sad,Ginger Story,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,2,How did the other dogs act when Ginger got sick?,"A. They tried to steal her food | B. They were nicer to her | C. They played tricks on her | D. They got sick too",stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q2.wav
12008_1_1_sad,Ginger Story,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,3,How do you think he felt when Ginger would cuddle with him?,"A. Uncomfortable | B. Energized | C. Loved | D. Distant",stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q3.wav
12008_1_1_sad,Ginger Story,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,4,How did he feel when he found out Ginger had died?,Free response,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q4.wav
12008_1_1_sad,Ginger Story,sad,stim_normalized/12008_1_1_sad/story/12008_1_1_sad_studio.wav,5,How did this story make you feel?,Free response,stim_normalized/12008_1_1_sad/questions/12008_1_1_sad_nvidia_q5.wav
12015_1_2_sad,Gerbils Story,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,1,Where did the family move?,"A. England | B. Canada | C. Australia | D. The United States",stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q1.wav
12015_1_2_sad,Gerbils Story,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,2,Where did the gerbils go when they moved?,"A. They brought them along | B. They stayed with her friend | C. They lived with her grandparents | D. They ran away",stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q2.wav
12015_1_2_sad,Gerbils Story,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,3,How did she feel when she when she found out she was moving to the US?,"A. Upset | B. Excited | C. Didn't care | D. Happy",stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q3.wav
12015_1_2_sad,Gerbils Story,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,4,How did she feel when she got a picture from her friend?,Free response,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q4.wav
12015_1_2_sad,Gerbils Story,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,5,How did this story make you feel?,Free response,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q5.wav
